ID,Project Title,Owner,Owner Type,Status,Country,Assign To
4654,Al Sahafa District Tower,Building Methods Contracting (BMC),Contractor,Lose,Saudi Arabia,Mohamed Ali
4655,AL TAIF CINEMA,Asass Construction,Contractor,cold case,Saudi Arabia,Unassigned
4656,AL TAIF CINEMA,Asass Construction,Contractor,Lose,Saudi Arabia,Mohamed Ali
4657,AL TAIF CINEMA,Asass Construction,Contractor,Lose,Saudi Arabia,Mohamed Ali
4658,AL TAIF CINEMA,Asass Construction,Contractor,Lose,Saudi Arabia,Mohamed Ali
4659,AL URUBAH PARK,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4660,AL Urubah Park,Maramer Contracting Co,Contractor,cold case,Saudi Arabia,Unassigned
4661,AL Urubah Park,Maramer Contracting Co.,Contractor,cold case,Saudi Arabia,Unassigned
4662,Al Yasmeen Development | Phase 2 | Hospital,Al Majal Al Arabi Group,Contractor,Postponed,Saudi Arabia,Faiza Ahmed
4663,Al Yasmeen Development | Phase 2 | Hospital,Al Majal Al Arabi Group,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4664,Al Yasmeen Development | Phase 2 | Hospital,Al Majal Al Arabi Group,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4665,Al Yasmeen Development | Phase 2 | Hospital,Al Majal Al Arabi Group,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4666,Ala Khotah,Profast,Contractor,Lose,Saudi Arabia,Mohamed Ali
4667,Alaa Khotah,Profast,Contractor,Lose,Saudi Arabia,Faiza Ahmed
4668,Alaa Khotah,Profast,Contractor,Lose,Saudi Arabia,Mohamed Ali
4669,Alaa Khotah,Profast,Contractor,Lose,Saudi Arabia,Mohamed Ali
4670,AlAndalus Mall,AlAndalus Property Company,Contractor,cold case,Saudi Arabia,Unassigned
4671,AlAndalus Mall,AlAndalus Property Company,Contractor,cold case,Saudi Arabia,Unassigned
4672,Al-Dhula’an Project,ACACIA Real Estate,Contractor,Postponed,Saudi Arabia,Unassigned
4673,Al-Dhula’an Project,ACACIA Real Estate,Contractor,Postponed,Saudi Arabia,Unassigned
4674,ALHAMMADI HOSPITAL-ADMIN-ACCOMMDATION-RIYADH,Hashem Contracting,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
4675,ALHAMMADI HOSPITAL-ADMIN-ACCOMMDATION-RIYADH,Hashem Contracting,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4676,ALHAMMADI HOSPITAL-ADMIN-ACCOMMDATION-RIYADH,Hashem Contracting,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4677,AlJouf New Airport,BAUMAT,Contractor,Lose,Saudi Arabia,Unassigned
4678,AlJouf New Airport,BAUMAT,Contractor,Lose,Saudi Arabia,Unassigned
4679,AlJouf New Airport,BAUMAT,Contractor,Lose,Saudi Arabia,Unassigned
4680,AlJouf New Airport,BAUMAT,Contractor,cold case,Saudi Arabia,Unassigned
4681,ALMANA NEW RIYADH HOSPITAL,Hashem Contracting,Contractor,Lose,Saudi Arabia,Mohamed Ali
4682,ALMANA NEW RIYADH HOSPITAL,Hashem Contracting,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
4683,ALMANA NEW RIYADH HOSPITAL,Hashem Contracting,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4684,ALMARAI,Hashem Contracting,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
4685,ALMARAI,Hashem Contracting,Contractor,Sent,Saudi Arabia,Nada Mohamed
4686,"Al-Mousa Hospital Project in Al-Sulaimaniyah District, Al-Ahsa",GLOBLE .GCC,Contractor,cold case,Saudi Arabia,Unassigned
4687,"Al-Mousa Hospital Project in Al-Sulaimaniyah District, Al-Ahsa",GLOBLE .GCC,Contractor,cold case,Saudi Arabia,Unassigned
4688,"Al-Mousa Hospital Project in Al-Sulaimaniyah District, Al-Ahsa",GLOBLE .GCC,Contractor,cold case,Saudi Arabia,Unassigned
4689,"Al-Mousa Hospital Project in Al-Sulaimaniyah District, Al-Ahsa",GLOBLE .GCC,Contractor,cold case,Saudi Arabia,Unassigned
4690,AL-NARJIS,Details Real Estate,Contractor,Closed Won,Saudi Arabia,Nourhan Mohamed
4691,ALqurinia water network,SATC,Contractor,cold case,Saudi Arabia,Unassigned
4692,Al-Quway'iyah Sports Club Project,Bashaer Al-Benaa,Contractor,Sent,Saudi Arabia,Mohamed Ali
4693,Al-Sawari,AL Yamama water Projects,Contractor,cold case,Saudi Arabia,Faiza Ahmed
4694,Al-Sawari,AL Yamama water Projects,Contractor,cold case,Saudi Arabia,Mohamed Ali
4695,Al-Sawari,AL Yamama water Projects,Contractor,cold case,Saudi Arabia,Mohamed Ali
4696,Al-Sawari,AL Yamama water Projects,Contractor,cold case,Saudi Arabia,Mohamed Ali
4697,Al-Shifa Health Center,Projects Destinations Construction Co. - Wejhat,Contractor,Postponed,Saudi Arabia,Unassigned
4698,Al-Shifa Health Center,Projects Destinations Construction Co. - Wejhat,Contractor,Postponed,Saudi Arabia,Unassigned
4699,Al-Shifa Health Center,Projects Destinations Construction Co. - Wejhat,Contractor,Postponed,Saudi Arabia,Unassigned
4700,Al-Shifa Health Center,Projects Destinations Construction Co. - Wejhat,Contractor,Postponed,Saudi Arabia,Unassigned
4701,AlUla Collection Facility,Consolidated Contractors Company,Contractor,Sent,Saudi Arabia,Fatma Hesham
4702,AlUla Collection Facility,Consolidated Contractors Company,Contractor,Sent,Saudi Arabia,Fatma Hesham
4703,AlUla Collection Facility,Consolidated Contractors Company,Contractor,Sent,Saudi Arabia,Fatma Hesham
4704,AlUla Collection Facility,Consolidated Contractors Company,Contractor,Postponed,Saudi Arabia,Unassigned
4705,Al-Waseel Farm Guest Building,Horizons contracting,Contractor,Sent,Saudi Arabia,Faiza Ahmed
4706,Al-Waseel Farm Guest Building,Horizons contracting,Contractor,Sent,Saudi Arabia,Mohamed Ali
