ID,Project Title,Owner,Owner Type,Status,Country,Assign To
5093,MBC STUDIO PROJECT,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5094,MBC STUDIO PROJECT,Riyadh Villas Contracting Company,Contractor,cold case,Saudi Arabia,Unassigned
5095,Mecca BRT,Western Bainoona,-,Sent,Saudi Arabia,Unassigned
5096,Mecca BRT,Western Bainoona,-,Sent,Saudi Arabia,Unassigned
5097,Mecca BRT,Western Bainoona,-,Sent,Saudi Arabia,Unassigned
5098,Mecca BRT,Western Bainoona,-,Postponed,Saudi Arabia,Faiza Ahmed
5099,MEENA CLINIC-2,Hashem Contracting,-,Lose,Saudi Arabia,Mahmoud Hassan
5100,MEP BUILDINGS FOR NEW JIZAN INTERNATIONAL AIRPORT,Safari,-,Lose,Saudi Arabia,Faiza Ahmed
5101,MEP BUILDINGS FOR NEW JIZAN INTERNATIONAL AIRPORT,Safari,-,cold case,Saudi Arabia,Mohamed Ali
5102,MEP BUILDINGS FOR NEW JIZAN INTERNATIONAL AIRPORT,Safari,-,cold case,Saudi Arabia,Mohamed Ali
5103,MEP BUILDINGS FOR NEW JIZAN INTERNATIONAL AIRPORT,Safari,-,cold case,Saudi Arabia,Mohamed Ali
5104,Mercia,BSCC,-,Sent,Saudi Arabia,Sherouk Ramdan
5105,Mercia,BSCC,-,Sent,Saudi Arabia,Unassigned
5106,Mercia,BSCC,-,Sent,Saudi Arabia,Sherouk Ramdan
5107,Mercia,BSCC,-,Sent,Saudi Arabia,Sherouk Ramdan
5108,Miqat General Hospital,Thabat Construction,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
5109,Mirror,Awj International Contracting Co,-,Lose,Saudi Arabia,Unassigned
5110,Mirror,Awj International Contracting Co,-,Lose,Saudi Arabia,Unassigned
5111,Mirror,Awj International Contracting Co,-,cold case,Saudi Arabia,Faiza Ahmed
5112,MISK MOBILITY HUB - PARKING BUILDING,ProService International Contracting,-,cold case,Saudi Arabia,Unassigned
5113,MISK MOBILITY HUB - PARKING BUILDING,ProService International Contracting,-,cold case,Saudi Arabia,Unassigned
5114,MISK MOBILITY HUB - PARKING BUILDING,ProService International Contracting,-,cold case,Saudi Arabia,Unassigned
5115,MISK MOBILITY HUB - PARKING BUILDING,ProService International Contracting,-,cold case,Saudi Arabia,Unassigned
5116,Mockup Banan AlRiyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Faiza Ahmed
5117,Mock-Up MUR Al Diriyah,Levels Contracting,-,Lose,Saudi Arabia,Fathy Keshk
5118,Mock-Up MUR Al Diriyah,Levels Contracting,-,Lose,Saudi Arabia,Ghaidaa Saad
5119,Mock-Up MUR Al Diriyah,Levels Contracting,-,Lose,Saudi Arabia,Ghaidaa Saad
5120,Mock-Up MUR Al Diriyah,Levels Contracting,-,Lose,Saudi Arabia,Ghaidaa Saad
5121,Modular Villa Mockup,CPC Holding Co,-,Sent,Saudi Arabia,Unassigned
5122,Modular Villa Mockup,CPC Holding Co,-,Sent,Saudi Arabia,Unassigned
5123,Modular Villa Mockup,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
5124,MONTAGE HOTEL & BRANDED RESIDENCES,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
5125,MONTAGE HOTEL & BRANDED RESIDENCES,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
5126,MONTAGE HOTEL & BRANDED RESIDENCES,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
5127,MONTAGE HOTEL & BRANDED RESIDENCES,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
5128,Mountain View,Fanar Arabian International Co,-,Under Study,Saudi Arabia,Unassigned
5129,Mountain View,Fanar Arabian International Co,-,Under Study,Saudi Arabia,Unassigned
5130,Mountain View,Fanar Arabian International Co,-,Under Study,Saudi Arabia,Unassigned
5131,Mountain View,Fanar Arabian International Co,-,Under Study,Saudi Arabia,Unassigned
5132,MRO,Mehwar,-,Sent,Saudi Arabia,Ahmed Farawilo
5133,MRO,Mehwar,-,Sent,Saudi Arabia,Ahmed Farawilo
5134,MRO,Mehwar,-,Sent,Saudi Arabia,Ahmed Farawilo
5135,MRO,Mehwar,-,Sent,Saudi Arabia,Faiza Ahmed
5136,Murcia Project,Bani Company,-,Sent,Saudi Arabia,Unassigned
5137,Murcia Project P.125 Infrastructure Works,ACACIA Real Estate,Contractor,Sent,Saudi Arabia,Mohamed Ali
5138,Murcia Project P.125 Infrastructure Works,ACACIA Real Estate,Contractor,Sent,Saudi Arabia,Mohamed Ali
5139,Murcia Project P.125 Infrastructure Works,ACACIA Real Estate,Contractor,Sent,Saudi Arabia,Faiza Ahmed
5140,"Muvi - Al Noor Mall, Madinah",Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5141,"Muvi - Al Noor Mall, Madinah",Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5142,"Muvi - Al Noor Mall, Madinah",Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5143,"MUVI Cinema, U-Walk, Jeddah",Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5144,"MUVI Cinema, U-Walk, Jeddah",Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5145,"MUVI Cinema, U-Walk, Jeddah",Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5146,"MUVI Cinema, U-Walk, Jeddah",Horizons contracting,-,Sent,Saudi Arabia,Unassigned
5147,Muvi Cinemas project at Shorofat Mall,Horizons contracting,-,Sent,Saudi Arabia,Unassigned
5148,Muvi Cinemas project at Shorofat Mall,Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5149,Muvi Cinemas project at Shorofat Mall,Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5150,Muvi Cinemas project at Shorofat Mall,Horizons contracting,-,Sent,Saudi Arabia,Nourhan Mohamed
5151,NAGA and DHB – Headquarters,DHB,Owner,Lose,Saudi Arabia,Fatma Hesham
5152,NAGA and DHB – Headquarters,DHB,Owner,Lose,Saudi Arabia,Fatma Hesham
5153,NAGA and DHB – Headquarters,DHB,Owner,Lose,Saudi Arabia,Fatma Hesham
5154,NAGA and DHB – Headquarters,DHB,Owner,Lose,Saudi Arabia,Unassigned
5155,Namozageya Tower,ORAK,-,Sent,Saudi Arabia,Unassigned
5156,Namozagya Villas,ORAK,-,Sent,Saudi Arabia,Ali Ketkat
5157,National Water Company,National Water Company,-,Lose,Saudi Arabia,Sherouk Ramdan
5158,NEOM FIRST DESALINATION PLANT INSTALLATION & SUPLLY SCOPE,AlKholi Group,-,cold case,Saudi Arabia,Unassigned
5159,NEW MURABBA LINEAR PARK,NEW MURABBA DEVELOPMENT COMPANY,-,Sent,Saudi Arabia,Mohamed Ali
5160,NEW MURABBA LINEAR PARK,NEW MURABBA DEVELOPMENT COMPANY,-,Sent,Saudi Arabia,Mohamed Ali
5161,NEW MURABBA LINEAR PARK,NEW MURABBA DEVELOPMENT COMPANY,-,Under Study,Saudi Arabia,Unassigned
5162,North Gate Hospital,SEDER CONSTRUCTION COMPANY,-,cold case,Saudi Arabia,Nourhan Mohamed
5163,North Gate Hospital,SEDER CONSTRUCTION COMPANY,-,cold case,Saudi Arabia,Nourhan Mohamed
5164,Office building,AL-Yahya Group for Contracting,-,cold case,Saudi Arabia,Unassigned
5165,Osus,BSCC,-,Sent,Saudi Arabia,Sherouk Ramdan
5166,Osus,BSCC,-,Sent,Saudi Arabia,Sherouk Ramdan
5167,Osus,BSCC,-,Sent,Saudi Arabia,Sherouk Ramdan
5168,OSUS EYE RIYADH PROJECT,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
5169,OSUS EYE RIYADH PROJECT,AL SAAD GENERAL CONTRACTING,Contractor,cold case,Saudi Arabia,Sherouk Ramdan
5170,OSUS EYE RIYADH PROJECT,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
5171,OSUS EYE RIYADH PROJECT,SIAC,-,Sent,Saudi Arabia,Sherouk Ramdan
5172,OSUS EYE RIYADH PROJECT,Salem Balhamer Contracting co. Ltd,-,Sent,Saudi Arabia,Sherouk Ramdan
5173,Osus Tower,ACACIA Real Estate,Contractor,Sent,Saudi Arabia,Unassigned
5174,Osus Tower,ACACIA Real Estate,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
5175,Osus Tower,ACACIA Real Estate,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
5176,Osus Tower,ACACIA Real Estate,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
5177,Othaim Mall,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5178,Othaim Mall,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5179,Othaim Mall,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5180,Othaim Mall,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5181,Outfield Spectator Experience,UNIMAC - United Maintenance and Contracting Company,-,cold case,Saudi Arabia,Unassigned
5182,Outfield Spectator Experience,UNIMAC - United Maintenance and Contracting Company,-,cold case,Saudi Arabia,Unassigned
5183,Outfield Spectator Experience,UNIMAC - United Maintenance and Contracting Company,-,cold case,Saudi Arabia,Unassigned
5184,Outfield Spectator Experience,UNIMAC - United Maintenance and Contracting Company,-,cold case,Saudi Arabia,Unassigned
5185,Oxagon Port Neom,El Seif Engineering Contracting,-,Sent,Saudi Arabia,Faiza Ahmed
5186,Oxagon project advanced health center,Alghanim International,Contractor,Lose,Saudi Arabia,Fathy Keshk
5187,Oxagon project advanced health center,Alghanim International,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
5188,Oxagon project advanced health center,Alghanim International,Contractor,Lose,Saudi Arabia,Mahmoud Hassan
5189,Oxagon project advanced health center,Alghanim International,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
5190,Oxagon project school 12,Alghanim International,Contractor,Sent,Saudi Arabia,Ghaidaa Saad
5191,Oxagon project school 12,Alghanim International,Contractor,Postponed,Saudi Arabia,Mahmoud Hassan
5192,Oxagon project school 12,Alghanim International,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
5193,Oxagon project school 15,Alghanim International,Contractor,Lose,Saudi Arabia,Ahmed Mosbah
5194,OXAGON T1,Hassan Allam Holding,-,Lose,Saudi Arabia,Sherouk Ramdan
5195,OXAGON T1,Hassan Allam Holding,-,Lose,Saudi Arabia,Sherouk Ramdan
5196,OXAGON T1,Hassan Allam Holding,-,Lose,Saudi Arabia,Sherouk Ramdan
5197,P&C of Shared Services Facilities New RCJY project,Abdulmohsen Al-Tamimi Group,-,Under Study,Saudi Arabia,Unassigned
5198,P&C of Shared Services Facilities New RCJY project,Abdulmohsen Al-Tamimi Group,-,Under Study,Saudi Arabia,Unassigned
5199,P&C of Shared Services Facilities New RCJY project,Abdulmohsen Al-Tamimi Group,-,Under Study,Saudi Arabia,Unassigned
5200,Park avenue,???? ???????? ?????????,-,cold case,Saudi Arabia,Unassigned
5201,Park avenue,???? ???????? ?????????,-,cold case,Saudi Arabia,Unassigned
5202,Park avenue,???? ???????? ?????????,-,cold case,Saudi Arabia,Unassigned
5203,Park avenue,???? ???????? ?????????,-,cold case,Saudi Arabia,Unassigned
5204,Park Hyatt Hotel Diriyah Gate,SIAC,-,Sent,Saudi Arabia,Fathy Keshk
5205,Park Hyatt Hotel Diriyah Gate,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Fathy Keshk
5206,Park Hyatt Hotel Diriyah Gate,SIAC,-,Sent,Saudi Arabia,Ghaidaa Saad
5207,Park Hyatt Hotel Diriyah Gate,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Ghaidaa Saad
5208,Park Hyatt Hotel Diriyah Gate,SIAC,-,Sent,Saudi Arabia,Mohamed Ali
5209,Park Hyatt Hotel Diriyah Gate,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Mohamed Ali
5210,Park Hyatt Hotel Diriyah Gate,SIAC,-,Sent,Saudi Arabia,Nourhan Mohamed
5211,Park Hyatt Hotel Diriyah Gate,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5212,Pharco,Arab Contractors,-,Postponed,Saudi Arabia,Fatma Hesham
5213,Pharco,Arab Contractors,-,cold case,Saudi Arabia,Faiza Ahmed
5214,Pharco,Arab Contractors,-,Sent,Saudi Arabia,Fatma Hesham
5215,Pharco,Arab Contractors,-,Postponed,Saudi Arabia,Fatma Hesham
5216,PRIMA FOOFD FACTORY,GLOBLE .GCC,-,cold case,Saudi Arabia,Sherouk Ramdan
5217,PRIMA FOOFD FACTORY,GLOBLE .GCC,-,cold case,Saudi Arabia,Sherouk Ramdan
5218,PRIMA FOOFD FACTORY,GLOBLE .GCC,-,cold case,Saudi Arabia,Sherouk Ramdan
5219,PRIME SQ. Project,BMCC,Contractor,cold case,Saudi Arabia,Unassigned
5220,PRIME SQ. Project,BMCC,Contractor,cold case,Saudi Arabia,Unassigned
5221,PRIME SQ. Project,BMCC,Contractor,Under Study,Saudi Arabia,Unassigned
5222,Prince Sultan Medical,Prince Sultan  Medical,-,Lose,Saudi Arabia,Ahmed Mosbah
5223,Prince Sultan Medical,Prince Sultan  Medical,-,Lose,Saudi Arabia,Ghaidaa Saad
5224,Prince Sultan Medical,Prince Sultan  Medical,-,Lose,Saudi Arabia,Nada Mohamed
5225,Prince Sultan Medical,Prince Sultan  Medical,-,Lose,Saudi Arabia,Sherouk Ramdan
5226,PRINCE SULTAN UNIVERSITY,Hashem Contracting,-,Sent,Saudi Arabia,Ghaidaa Saad
5227,PRINCE SULTAN UNIVERSITY,Hashem Contracting,-,Sent,Saudi Arabia,Nada Mohamed
5228,PRINCE SULTAN UNIVERSITY,Hashem Contracting,-,Sent,Saudi Arabia,Nada Mohamed
5229,Private Residential Villa,Elite construction ltd,-,cold case,Saudi Arabia,Unassigned
5230,Private Residential Villa,Elite construction ltd,-,cold case,Saudi Arabia,Unassigned
5231,Private Residential Villa,Elite construction ltd,-,cold case,Saudi Arabia,Unassigned
5232,Private Residential Villa,Elite construction ltd,-,cold case,Saudi Arabia,Unassigned
5233,Public buildings factory,AL MABANI AL UMUMIYYAH,Contractor,Sent,Saudi Arabia,Unassigned
5234,Public buildings factory,AL MABANI AL UMUMIYYAH,Contractor,Sent,Saudi Arabia,Ahmed Farawilo
5235,Public buildings factory,AL MABANI AL UMUMIYYAH,Contractor,Sent,Saudi Arabia,Ahmed Farawilo
5236,Public buildings factory,AL MABANI AL UMUMIYYAH,Contractor,Sent,Saudi Arabia,Ahmed Farawilo
5237,Qatif buildings,Bonyan Construction Company,-,Lose,Saudi Arabia,Faiza Ahmed
5238,Qatif buildings,Bonyan Construction Company,-,Lose,Saudi Arabia,Sherouk Ramdan
5239,Qatif buildings,Bonyan Construction Company,-,Lose,Saudi Arabia,Sherouk Ramdan
5240,Qatif buildings,Bonyan Construction Company,-,Lose,Saudi Arabia,Sherouk Ramdan
5241,Qatif stations,Maramer Contracting Co.,-,cold case,Saudi Arabia,Unassigned
5242,Qiddiya - 21B and 21C Resort Core Civic Buildings,[UNEC] United Engineering Construction,Contractor,Postponed,Saudi Arabia,Unassigned
5243,Qiddiya - 21B and 21C Resort Core Civic Buildings,[UNEC] United Engineering Construction,Contractor,Sent,Saudi Arabia,Fatma Hesham
5244,Qiddiya - 21B and 21C Resort Core Civic Buildings,[UNEC] United Engineering Construction,Contractor,Sent,Saudi Arabia,Fatma Hesham
5245,Qiddiya - 21B and 21C Resort Core Civic Buildings,[UNEC] United Engineering Construction,Contractor,Sent,Saudi Arabia,Fatma Hesham
5246,QUATTRO(SCHOOL),Alghanim International,Contractor,Lose,Saudi Arabia,Fathy Keshk
5247,Qurtobah Project Towers,Building Methods Contracting (BMC),-,Sent,Saudi Arabia,Unassigned
5248,Qurtobah Project Towers,Building Methods Contracting (BMC),-,Sent,Saudi Arabia,Unassigned
5249,Qurtobah Project Towers,Building Methods Contracting (BMC),-,Sent,Saudi Arabia,Unassigned
5250,Rabiah Hospital,Trispec Design & build,-,Lose,Saudi Arabia,Unassigned
5251,Rabiah Hospital,Trispec Design & build,-,Lose,Saudi Arabia,Sherouk Ramdan
5252,Rabiah Hospital,Trispec Design & build,-,Lose,Saudi Arabia,Sherouk Ramdan
5253,Rabigh 2 IPP Expansion Project,ELSEWEDY ELECTRIC PSP,-,Under Study,Saudi Arabia,Faiza Ahmed
5254,RAD SUBSTATIONS,TDP,-,cold case,Saudi Arabia,Mohamed Ali
5255,Rafaa Project,Construct,-,Lose,Saudi Arabia,Faiza Ahmed
5256,Rafaa Project,Construct,-,Lose,Saudi Arabia,Sherouk Ramdan
5257,RAFFLES HOTEL,MOBCO,-,cold case,Saudi Arabia,Unassigned
5258,RAFFLES HOTEL,MOBCO,-,cold case,Saudi Arabia,Unassigned
5259,RAFFLES HOTEL,MOBCO,-,cold case,Saudi Arabia,Unassigned
5260,Ras Alkhair building project,Hashem Contracting,-,Sent,Saudi Arabia,Mohamed Ali
5261,Ras Alkhair building project,Hashem Contracting,-,Sent,Saudi Arabia,Mohamed Ali
5262,RAS MOHAISEN WATER TRANSMISSION SYSTEM PHASE 1,Sdn,-,Under Study,Saudi Arabia,Unassigned
5263,RASHID 4 STARS HOTEL -SUB03,Rashid Mahya Marzouq Al-Rashidi,-,Sent,Saudi Arabia,Fatma Hesham
5264,RASHID 4 STARS HOTEL -SUB03,Rashid Mahya Marzouq Al-Rashidi,-,Sent,Saudi Arabia,Fatma Hesham
5265,RASHID 4 STARS HOTEL -SUB03,Rashid Mahya Marzouq Al-Rashidi,-,Sent,Saudi Arabia,Fatma Hesham
5266,RASHID 4 STARS HOTEL -SUB03,Rashid Mahya Marzouq Al-Rashidi,-,Sent,Saudi Arabia,Ali Ketkat
5267,RE: RFQ – Electrical – COMPREHENSIVE CORRIDOR DEVELOPMENT PLAN FOR PRINCE TURKI ROAD  Project,SAMA Construction,-,Lose,Saudi Arabia,Unassigned
5268,REDSEA,Creet International Contracting Co. Ltd,-,cold case,Saudi Arabia,Mohamed Ali
5269,REDSEA,Creet International Contracting Co. Ltd,-,cold case,Saudi Arabia,Mohamed Ali
5270,Reformatory-Abha,Aldeyabi Group,-,cold case,Saudi Arabia,Unassigned
5271,Reformatory-Abha,Aldeyabi Group,-,Lose,Saudi Arabia,Ahmed Farawilo
5272,Reformatory-Abha,Aldeyabi Group,-,cold case,Saudi Arabia,Nourhan Mohamed
5273,Reformatory-Abha,Aldeyabi Group,-,cold case,Saudi Arabia,Nourhan Mohamed
5274,Rehab commercial office,AICC,Contractor,Sent,Saudi Arabia,Fatma Hesham
5275,Rehab commercial office,AICC,Contractor,Sent,Saudi Arabia,Fatma Hesham
5276,Rehab commercial office,AICC,Contractor,Sent,Saudi Arabia,Faiza Ahmed
5277,Rehabilitation Of Adminstrative Facility at PSMMC,SBCM,-,cold case,Saudi Arabia,Unassigned
5278,Request for Quotation – HVAC Supply & Installation of Indoor Air Conditioning Units – Ministry of Energy Building,ACACIA Real Estate,Contractor,Sent,Saudi Arabia,Unassigned
5279,Residential Building,ACACIA Real Estate,Contractor,Sent,Saudi Arabia,Fatma Hesham
5280,RITZ CARLTON RESORT,Alghanim International,Contractor,Postponed,Saudi Arabia,Unassigned
5281,RITZ CARLTON RESORT,Alghanim International,Contractor,Postponed,Saudi Arabia,Unassigned
5282,RITZ CARLTON RESORT,Alghanim International,Contractor,Postponed,Saudi Arabia,Unassigned
5283,RITZ CARLTON RESORT,Alghanim International,Contractor,Postponed,Saudi Arabia,Unassigned
5284,Riyad Bank Buraydah,AMCO Construction,-,Sent,Saudi Arabia,Nourhan Mohamed
5285,Riyad Bank Buraydah,AMCO Construction,-,Sent,Saudi Arabia,Nourhan Mohamed
5286,Riyad Bank Buraydah,AMCO Construction,-,Sent,Saudi Arabia,Nourhan Mohamed
5287,Riyadh Main Electricity Network Reinforcement Project,Al Jabal Al Arabia Contracting Company,-,cold case,Saudi Arabia,Unassigned
5288,Riyadh unit,ARKAD Engineering & Construction,-,Lose,Saudi Arabia,Sherouk Ramdan
5289,ROSHN,AICC,Contractor,cold case,Saudi Arabia,Unassigned
5290,ROSHN,AICC,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
5291,ROSHN,AICC,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
5292,ROSHN,AICC,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
5293,ROYA,BCC | Building Construction Company,-,Lose,Saudi Arabia,Ghaidaa Saad
5294,ROYA,BCC | Building Construction Company,-,Lose,Saudi Arabia,Nada Mohamed
5295,ROYA,BCC | Building Construction Company,-,Lose,Saudi Arabia,Sherouk Ramdan
5296,Royal clinic,Mehwar,-,Sent,Saudi Arabia,Faiza Ahmed
5297,Royal Commission,Abdullah Ibrahim Al Sayegh,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
5298,Royal Commission,Abdullah Ibrahim Al Sayegh,Contractor,Lose,Saudi Arabia,Mahmoud Hassan
5299,Rua Al Madinah,Alghanim International,Contractor,cold case,Saudi Arabia,Unassigned
5300,Rua Al Madinah,Alghanim International,Contractor,Postponed,Saudi Arabia,Sherouk Ramdan
5301,Rua Al Madinah,Alghanim International,Contractor,Postponed,Saudi Arabia,Sherouk Ramdan
5302,Saad Al-Tassan,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5303,Saad Al-Tassan,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5304,Saad Al-Tassan,Riyadh Villas Contracting Company,Contractor,cold case,Saudi Arabia,Unassigned
5305,"Sadaf Resort, Jeddah",Al Hokair Lynx,-,Under Study,Saudi Arabia,Unassigned
5306,"Sadaf Resort, Jeddah",Al Hokair Lynx,-,Under Study,Saudi Arabia,Unassigned
5307,"Sadaf Resort, Jeddah",Al Hokair Lynx,-,Under Study,Saudi Arabia,Unassigned
5308,SAL Saudi Logistics Services,Rowad Modern Engineering,-,Under Study,Saudi Arabia,Unassigned
5309,SAL Saudi Logistics Services,Rowad Modern Engineering,-,Under Study,Saudi Arabia,Unassigned
5310,SAL Saudi Logistics Services,Rowad Modern Engineering,-,Under Study,Saudi Arabia,Unassigned
5311,SAL Saudi Logistics Services,Rowad Modern Engineering,-,cold case,Saudi Arabia,Unassigned
5312,Salboukh Tier IV Data Center,Saudi Elaf Company,-,Lose,Saudi Arabia,Sherouk Ramdan
5313,Sales Center Mall,Advanced Elements Contracting Co.,Contractor,Sent,Saudi Arabia,Unassigned
5314,Sales Center Mall,Advanced Elements Contracting Co.,Contractor,Sent,Saudi Arabia,Unassigned
5315,Sales Center Mall,Advanced Elements Contracting Co.,Contractor,Sent,Saudi Arabia,Unassigned
5316,Sales Center Mall,Advanced Elements Contracting Co.,Contractor,Sent,Saudi Arabia,Unassigned
5317,Sama Residence,Simat Al-Bunyan,-,Lose,Saudi Arabia,Faiza Ahmed
5318,Sama Residence,Simat Al-Bunyan,-,Lose,Saudi Arabia,Mohamed Ali
5319,Sama Residence,Simat Al-Bunyan,-,Lose,Saudi Arabia,Mohamed Ali
5320,Saoudi Consult,Saudi Geo Co,-,Sent,Saudi Arabia,Unassigned
5321,Saoudi Consult,Saudi Geo Co,-,Sent,Saudi Arabia,Unassigned
5322,Saoudi Consult,Saudi Geo Co,-,Sent,Saudi Arabia,Unassigned
5323,Saoudi Consult,Saudi Geo Co,-,Sent,Saudi Arabia,Unassigned
5324,SATELLITE OPERATION AND MAINTENANCE CENTRE -KING SALMAN PARK,Riyadh Villas Contracting Company,Contractor,Postponed,Saudi Arabia,Unassigned
5325,SATELLITE OPERATION AND MAINTENANCE CENTRE -KING SALMAN PARK,Riyadh Villas Contracting Company,Contractor,Postponed,Saudi Arabia,Unassigned
5326,SATELLITE OPERATION AND MAINTENANCE CENTRE -KING SALMAN PARK,Riyadh Villas Contracting Company,Contractor,Postponed,Saudi Arabia,Unassigned
5327,SATELLITE OPERATION AND MAINTENANCE CENTRE -KING SALMAN PARK,Riyadh Villas Contracting Company,Contractor,cold case,Saudi Arabia,Unassigned
5328,SCHNEIDER ELECTRIC IN SPARK CITY,DTC,-,Postponed,Saudi Arabia,Faiza Ahmed
5329,SCHNEIDER ELECTRIC IN SPARK CITY,DTC,-,Sent,Saudi Arabia,Mohamed Ali
5330,SCHNEIDER ELECTRIC IN SPARK CITY,DTC,-,Sent,Saudi Arabia,Mohamed Ali
5331,SCHNEIDER ELECTRIC IN SPARK CITY,DTC,-,Sent,Saudi Arabia,Mohamed Ali
5332,SEC WARE HOUSE IN MADINAH,TAREG,-,cold case,Saudi Arabia,Unassigned
5333,SEC WARE HOUSE IN MADINAH,TAREG,-,Lose,Saudi Arabia,Sherouk Ramdan
5334,SEC WARE HOUSE IN MADINAH,TAREG,-,Lose,Saudi Arabia,Sherouk Ramdan
5335,SEC WARE HOUSE IN MADINAH,TAREG,-,Lose,Saudi Arabia,Sherouk Ramdan
5336,self-contained cold storage warehouse,Althaminah General Contracting LTD. Co.,-,cold case,Saudi Arabia,Unassigned
5337,self-contained cold storage warehouse,Althaminah General Contracting LTD. Co. - New Deal,-,cold case,Saudi Arabia,Unassigned
5338,SGH Western tower project.,IHCC,-,Lose,Saudi Arabia,Unassigned
5339,SGH Western tower project.,IHCC,-,Lose,Saudi Arabia,Mohamed Ali
5340,SGH Western tower project.,IHCC,-,Lose,Saudi Arabia,Mohamed Ali
5341,SGH Western tower project.,IHCC,-,Lose,Saudi Arabia,Mohamed Ali
5342,Shuhada Mosque,AICC,Contractor,Lose,Saudi Arabia,Ahmed Farawilo
5343,Shuhada Mosque,AICC,Contractor,Lose,Saudi Arabia,Ahmed Farawilo
5344,Shuhada Mosque,AICC,Contractor,Lose,Saudi Arabia,Ahmed Farawilo
5345,Shuhada Mosque,AICC,Contractor,Lose,Saudi Arabia,Fathy Keshk
5346,SIFR Offices,Construction & Planning Co. Ltd. (C&P®),-,Lose,Saudi Arabia,Ahmed Farawilo
5347,SIFR Offices,Construction & Planning Co. Ltd. (C&P®),-,Lose,Saudi Arabia,Ahmed Farawilo
5348,SIFR Offices,Construction & Planning Co. Ltd. (C&P®),-,Lose,Saudi Arabia,Ahmed Farawilo
5349,SIFR Offices,Construction & Planning Co. Ltd. (C&P®),-,Lose,Saudi Arabia,Faiza Ahmed
5350,SITE DEVELOPMENT FOR PLASCHEM PARK-RCJY 2,Abdulmohsen Al-Tamimi Group,-,cold case,Saudi Arabia,Faiza Ahmed
5351,SITE DEVELOPMENT FOR PLASCHEM PARK-RCJY 2,Abdulmohsen Al-Tamimi Group,-,cold case,Saudi Arabia,Unassigned
5352,SITE DEVELOPMENT FOR PLASCHEM PARK-RCJY 2,Abdulmohsen Al-Tamimi Group,-,cold case,Saudi Arabia,Unassigned
5353,SITE DEVELOPMENT FOR PLASCHEM PARK-RCJY 2,Abdulmohsen Al-Tamimi Group,-,cold case,Saudi Arabia,Unassigned
5354,SKI VILLAGE GC,Alghanim International,Contractor,Postponed,Saudi Arabia,Unassigned
5355,SKI VILLAGE GC,Alghanim International,Contractor,Sent,Saudi Arabia,Mohamed Ali
5356,SKI VILLAGE GC,Alghanim International,Contractor,Postponed,Saudi Arabia,Nourhan Mohamed
5357,SKI VILLAGE GC,Alghanim International,Contractor,Postponed,Saudi Arabia,Sherouk Ramdan
5358,Sky Gardens Tower,Hashem Contracting,-,cold case,Saudi Arabia,Unassigned
5359,Sky Gardens Tower,Hashem Contracting,-,cold case,Saudi Arabia,Unassigned
